2026-08-12 02:42:08 configure libsmartcols1:amd64 2.41-5 <none>
2026-08-12 02:42:08 status unpacked libsmartcols1:amd64 2.41-5
2026-08-12 02:42:08 status half-configured libsmartcols1:amd64 2.41-5
2026-08-12 02:42:08 status installed libsmartcols1:amd64 2.41-5
2026-08-12 02:42:08 configure zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1 <none>
2026-08-12 02:42:08 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-08-12 02:42:08 status half-configured zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-08-12 02:42:09 status installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-08-12 02:42:09 configure libcrypt1:amd64 1:4.4.38-1 <none>
2026-08-12 02:42:09 status unpacked libcrypt1:amd64 1:4.4.38-1
2026-08-12 02:42:09 status half-configured libcrypt1:amd64 1:4.4.38-1
2026-08-12 02:42:09 status installed libcrypt1:amd64 1:4.4.38-1
2026-08-12 02:42:09 configure diffutils:amd64 1:3.10-4 <none>
2026-08-12 02:42:09 status unpacked diffutils:amd64 1:3.10-4
2026-08-12 02:42:09 status half-configured diffutils:amd64 1:3.10-4
2026-08-12 02:42:09 status installed diffutils:amd64 1:3.10-4
2026-08-12 02:42:09 configure libseccomp2:amd64 2.6.0-2 <none>
2026-08-12 02:42:09 status unpacked libseccomp2:amd64 2.6.0-2
2026-08-12 02:42:09 status half-configured libseccomp2:amd64 2.6.0-2
2026-08-12 02:42:09 status installed libseccomp2:amd64 2.6.0-2
2026-08-12 02:42:09 configure libcap2:amd64 1:2.75-10+deb13u1+b1 <none>
2026-08-12 02:42:09 status unpacked libcap2:amd64 1:2.75-10+deb13u1+b1
2026-08-12 02:42:09 status half-configured libcap2:amd64 1:2.75-10+deb13u1+b1
2026-08-12 02:42:09 status installed libcap2:amd64 1:2.75-10+deb13u1+b1
2026-08-12 02:42:09 configure perl-base:amd64 5.40.1-6 <none>
2026-08-12 02:42:09 status unpacked perl-base:amd64 5.40.1-6
2026-08-12 02:42:09 status half-configured perl-base:amd64 5.40.1-6
2026-08-12 02:42:09 status installed perl-base:amd64 5.40.1-6
2026-08-12 02:42:09 configure openssl-provider-legacy:amd64 3.5.6-1~deb13u2 <none>
2026-08-12 02:42:09 status unpacked openssl-provider-legacy:amd64 3.5.6-1~deb13u2
2026-08-12 02:42:09 status half-configured openssl-provider-legacy:amd64 3.5.6-1~deb13u2
2026-08-12 02:42:09 status installed openssl-provider-legacy:amd64 3.5.6-1~deb13u2
2026-08-12 02:42:09 configure hostname:amd64 3.25 <none>
2026-08-12 02:42:09 status unpacked hostname:amd64 3.25
2026-08-12 02:42:09 status half-configured hostname:amd64 3.25
2026-08-12 02:42:09 status installed hostname:amd64 3.25
2026-08-12 02:42:09 configure libcap-ng0:amd64 0.8.5-4+b1 <none>
2026-08-12 02:42:09 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2026-08-12 02:42:09 status half-configured libcap-ng0:amd64 0.8.5-4+b1
2026-08-12 02:42:09 status installed libcap-ng0:amd64 0.8.5-4+b1
2026-08-12 02:42:09 configure libnettle8t64:amd64 3.10.1-1 <none>
2026-08-12 02:42:09 status unpacked libnettle8t64:amd64 3.10.1-1
2026-08-12 02:42:09 status half-configured libnettle8t64:amd64 3.10.1-1
2026-08-12 02:42:09 status installed libnettle8t64:amd64 3.10.1-1
2026-08-12 02:42:09 configure libgmp10:amd64 2:6.3.0+dfsg-3 <none>
2026-08-12 02:42:09 status unpacked libgmp10:amd64 2:6.3.0+dfsg-3
2026-08-12 02:42:09 status half-configured libgmp10:amd64 2:6.3.0+dfsg-3
2026-08-12 02:42:09 status installed libgmp10:amd64 2:6.3.0+dfsg-3
2026-08-12 02:42:09 configure libaudit1:amd64 1:4.0.2-2+b2 <none>
2026-08-12 02:42:09 status unpacked libaudit1:amd64 1:4.0.2-2+b2
2026-08-12 02:42:09 status half-configured libaudit1:amd64 1:4.0.2-2+b2
2026-08-12 02:42:09 status installed libaudit1:amd64 1:4.0.2-2+b2
2026-08-12 02:42:09 configure gzip:amd64 1.13-1 <none>
2026-08-12 02:42:09 status unpacked gzip:amd64 1.13-1
2026-08-12 02:42:09 status half-configured gzip:amd64 1.13-1
2026-08-12 02:42:09 status installed gzip:amd64 1.13-1
2026-08-12 02:42:09 configure libuuid1:amd64 2.41-5 <none>
2026-08-12 02:42:09 status unpacked libuuid1:amd64 2.41-5
2026-08-12 02:42:09 status half-configured libuuid1:amd64 2.41-5
2026-08-12 02:42:09 status installed libuuid1:amd64 2.41-5
2026-08-12 02:42:09 configure libsepol2:amd64 3.8.1-1 <none>
2026-08-12 02:42:09 status unpacked libsepol2:amd64 3.8.1-1
2026-08-12 02:42:09 status half-configured libsepol2:amd64 3.8.1-1
2026-08-12 02:42:09 status installed libsepol2:amd64 3.8.1-1
2026-08-12 02:42:09 configure libpcre2-8-0:amd64 10.46-1~deb13u1 <none>
2026-08-12 02:42:09 status unpacked libpcre2-8-0:amd64 10.46-1~deb13u1
2026-08-12 02:42:09 status half-configured libpcre2-8-0:amd64 10.46-1~deb13u1
2026-08-12 02:42:09 status installed libpcre2-8-0:amd64 10.46-1~deb13u1
2026-08-12 02:42:09 configure libudev1:amd64 257.13-1~deb13u1 <none>
2026-08-12 02:42:09 status unpacked libudev1:amd64 257.13-1~deb13u1
2026-08-12 02:42:09 status half-configured libudev1:amd64 257.13-1~deb13u1
2026-08-12 02:42:09 status installed libudev1:amd64 257.13-1~deb13u1
2026-08-12 02:42:09 configure libhogweed6t64:amd64 3.10.1-1 <none>
2026-08-12 02:42:09 status unpacked libhogweed6t64:amd64 3.10.1-1
2026-08-12 02:42:09 status half-configured libhogweed6t64:amd64 3.10.1-1
2026-08-12 02:42:09 status installed libhogweed6t64:amd64 3.10.1-1
2026-08-12 02:42:09 configure sqv:amd64 1.3.0-3+b2 <none>
2026-08-12 02:42:09 status unpacked sqv:amd64 1.3.0-3+b2
2026-08-12 02:42:09 status half-configured sqv:amd64 1.3.0-3+b2
2026-08-12 02:42:09 status installed sqv:amd64 1.3.0-3+b2
2026-08-12 02:42:09 configure grep:amd64 3.11-4 <none>
2026-08-12 02:42:09 status unpacked grep:amd64 3.11-4
2026-08-12 02:42:09 status half-configured grep:amd64 3.11-4
2026-08-12 02:42:09 status installed grep:amd64 3.11-4
2026-08-12 02:42:09 configure libssl3t64:amd64 3.5.6-1~deb13u2 <none>
2026-08-12 02:42:09 status unpacked libssl3t64:amd64 3.5.6-1~deb13u2
2026-08-12 02:42:09 status half-configured libssl3t64:amd64 3.5.6-1~deb13u2
2026-08-12 02:42:09 status installed libssl3t64:amd64 3.5.6-1~deb13u2
2026-08-12 02:42:09 configure liblastlog2-2:amd64 2.41-5 <none>
2026-08-12 02:42:09 status unpacked liblastlog2-2:amd64 2.41-5
2026-08-12 02:42:09 status half-configured liblastlog2-2:amd64 2.41-5
2026-08-12 02:42:09 status installed liblastlog2-2:amd64 2.41-5
2026-08-12 02:42:09 configure libsystemd0:amd64 257.13-1~deb13u1 <none>
2026-08-12 02:42:09 status unpacked libsystemd0:amd64 257.13-1~deb13u1
2026-08-12 02:42:09 status half-configured libsystemd0:amd64 257.13-1~deb13u1
2026-08-12 02:42:09 status installed libsystemd0:amd64 257.13-1~deb13u1
2026-08-12 02:42:09 configure libselinux1:amd64 3.8.1-1 <none>
2026-08-12 02:42:09 status unpacked libselinux1:amd64 3.8.1-1
2026-08-12 02:42:09 status half-configured libselinux1:amd64 3.8.1-1
